Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
SAX J1808.4-3658,AMXP,2.33e+28,0.0,0.0,1.45e+36,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,2.06e+28,0.0,0.0,1.34e+36,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,2.04e+28,0.0,0.0,1.07e+36,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,3.13e+28,0.0,0.0,7.35e+35,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,4.63e+27,0.0,0.0,2.35e+34,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,1.28e+28,0.0,0.0,2.79e+34,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,3.67e+27,0.0,0.0,1.63e+35,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,5.87595e+28,2.18e+28,2.18e+28,5.562366e+35,2.2e+35,2.2e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,3.21252e+28,8.2e+27,8.2e+27,1.13242e+36,2e+35,2e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,2.85664e+28,8.3e+27,8.3e+27,1.790516e+36,2.8e+35,2.8e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,2.58316e+28,1.06e+28,1.06e+28,2.305448e+36,6.5e+35,6.5e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,2.22122e+28,8.2e+27,8.2e+27,2.83106e+36,4.7e+35,4.7e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
SAX J1808.4-3658,AMXP,3.21252e+28,8.3e+27,8.3e+27,3.015736e+36,4.4e+35,4.4e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,4.87e+27,0.0,0.0,4.15e+35,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.59e+27,0.0,0.0,1.38e+34,0.0,0.0,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.8e+28,5.3e+27,5.3e+27,5.57791353e+35,1.3e+35,1.3e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,2.65e+28,6.1e+27,6.1e+27,8.95991166e+35,1.3e+35,1.3e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.16e+29,5.5e+28,5.5e+28,1.76737806e+36,1.3e+35,1.3e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,6.35e+28,0.0,0.0,1.45e+36,2.05e+33,2.05e+33,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.39e+28,0.0,0.0,4.28e+35,1.25e+33,1.25e+33,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.18e+28,0.0,0.0,1.13e+35,2.66e+33,2.66e+33,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.7e+28,0.0,0.0,7.49e+35,2.82e+33,2.82e+33,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.64e+28,0.0,0.0,4.29e+35,4.29e+33,4.29e+33,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J00291+5934,AMXP,1.27e+27,0.0,0.0,7.6e+32,5.91e+32,5.91e+32,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J17511-3057,AMXP,6.28e+27,0.0,0.0,3.34e+36,0.0,0.0,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
IGR J17511-3057,AMXP,6e+27,0.0,0.0,2.22e+36,0.0,0.0,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
