Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
A0620-00,BH,2.4157107e+26,3.2799626e+25,3.2799626e+25,7.4769759e+30,1.6988867e+30,2.3789769e+30,None,"Gallo et al. 2006, MNRAS, 370, 1351; Dincer et al. 2018, ApJ, 852, 4"
A0620-00,BH,1.4927177e+26,3.2130246e+25,3.2130246e+25,1.7992938e+31,3.8355481e+30,5.0149958e+30,None,"Gallo et al. 2006, MNRAS, 370, 1351; Dincer et al. 2018, ApJ, 852, 4"
XTE J1118+480,BH,1.011442e+29,0.0,0.0,2.062842e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,9.855076e+28,0.0,0.0,2.097762e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,7.676585e+28,0.0,0.0,1.761429e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,6.863974e+28,0.0,0.0,1.049432e+35,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,4.737352e+28,0.0,0.0,7.009694e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,4.114926e+28,0.0,0.0,4.528549e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,3.215867e+28,0.0,0.0,2.326763e+34,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,6.915843e+27,0.0,0.0,6.983964e+33,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
XTE J1118+480,BH,8.3e+25,0.0,0.0,4.3e+30,0.0,0.0,None,"Fender et al. 2010, MNRAS, 406, 1425; Gallo et al. 2014, MNRAS, 445, 290"
