Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
EXO 1745-248,NS,9.51510867473e+27,2.56114795189e+27,2.92021582244e+27,3.360153676e+36,7.65258187044e+35,8.06329412763e+35,None,"A. Tetarenko et al. 2016, MNRAS, 460, 345"
EXO 1745-248,NS,1.65481336415e+28,3.21501585794e+27,3.60569311023e+27,5.27066788204e+36,1.60226284392e+36,1.63375892922e+36,None,"A. Tetarenko et al. 2016, MNRAS, 460, 345"
EXO 1745-248,NS,1.016259375e+29,1.70969071188e+28,1.90093465898e+28,1.6065474672e+37,2.84401213639e+36,3.24690758884e+36,None,"A. Tetarenko et al. 2016, MNRAS, 460, 345"
EXO 1745-248,NS,1.4078153455e+29,2.41243189478e+28,2.59453853746e+28,1.74024903471e+37,3.04506511589e+36,3.09823361485e+36,None,"A. Tetarenko et al. 2016, MNRAS, 460, 345"
EXO 1745-248,NS,7.88440493787e+27,0.0,0.0,8.339822043e+34,0.0,0.0,Lr,"A. Tetarenko et al. 2016, MNRAS, 460, 345"
Cen X-4,NS,2.94e+28,1.38e+28,1.38e+28,7.64e+36,6.38e+35,6.38e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,4.84e+28,1.38e+28,1.38e+28,5.52e+36,4.55e+35,4.55e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,6.91e+28,2.16e+28,2.16e+28,2.76e+36,5.23e+35,5.23e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,6.13e+28,2.85e+28,2.85e+28,3.46e+36,5.92e+35,5.92e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,4.32e+28,2.16e+28,2.16e+28,1.08e+36,3.69e+35,3.69e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,1.73e+28,8.64e+27,8.64e+27,1.08e+36,3.69e+35,3.69e+35,None,"Tudor et al. 2017, MNRAS, 470, 324"
Cen X-4,NS,1.21e+26,0.0,0.0,1.458e+31,9e+30,9e+30,Lr,"Tudor et al. 2017, MNRAS, 470, 324"
1RXS J180408.9-34205,NS,4.649e+28,8.016e+26,8.016e+26,6.485e+36,1.042e+35,1.042e+35,None,"Gusinskaia et al., 2017, MNRAS, 470, 1871"
1RXS J180408.9-34205,NS,2.806e+27,0.0,0.0,1.651e+35,0.0,0.0,Lr,"Gusinskaia et al., 2017, MNRAS, 470, 1871"
1RXS J180408.9-34205,NS,2.405e+27,0.0,0.0,6.012e+34,0.0,0.0,Lr,"Gusinskaia et al., 2017, MNRAS, 470, 1871"
MAXI J0556-332,NS,5.3e+28,0.0,0.0,1.8e+37,0.0,0.0,None,"Coriat et al., 2011, ATel, 3119"
MXB 1730-335,NS,2e+28,0.0,0.0,6.1e+35,0.0,0.0,None,"Rutledge et al. 1998, ATel, 8"
MXB 1730-335,NS,1.6e+29,0.0,0.0,4e+37,0.0,0.0,None,"Rutledge et al. 1998, ATel, 8"
MXB 1730-335,NS,1.3e+29,0.0,0.0,4.1e+37,0.0,0.0,None,"Rutledge et al. 1998, ATel, 8"
MXB 1730-335,NS,1.5e+29,0.0,0.0,7.2e+37,0.0,0.0,None,"Rutledge et al. 1998, ATel, 8"
MXB 1730-335,NS,1.8e+28,0.0,0.0,3.3e+36,0.0,0.0,None,"Rutledge et al. 1998, ATel, 8"
Aql X-1,NS,9.398036e+28,0.0,0.0,8.614098e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,3.212519e+28,0.0,0.0,5.433837e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,4.201396e+28,0.0,0.0,3.720554e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,4.131515e+28,0.0,0.0,3.278485e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,2.456393e+28,0.0,0.0,3.71617e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,3.49355e+28,0.0,0.0,2.585481e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,3.159087e+28,0.0,0.0,2.426532e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,3.159087e+28,0.0,0.0,3.17459e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,2.221225e+28,0.0,0.0,1.394384e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,1.910004e+28,0.0,0.0,1.685061e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
Aql X-1,NS,1.174333e+28,0.0,0.0,2.45984e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,7.946844e+28,0.0,0.0,8.083335e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,8.217944e+28,0.0,0.0,6.479112e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,6.60797e+28,0.0,0.0,3.665851e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,4.344723e+28,0.0,0.0,5.437442e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,2.00857e+28,0.0,0.0,2.20478e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,2.112223e+28,0.0,0.0,2.424388e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,1.194196e+28,0.0,0.0,2.133731e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 1728-34,NS,1.460449e+28,0.0,0.0,2.134674e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.910004e+28,0.0,0.0,1.329364e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,7.592786e+27,0.0,0.0,1.553859e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.061906e+28,0.0,0.0,1.286335e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
4U 0614+091,NS,1.194196e+28,0.0,0.0,2.067331e+36,0.0,0.0,None,"Migliari et al. 2011, MNRAS, 415, 2407"
