Source,Date,Radio Flux (4.8/5.5 GHz),Radio Flux error (4.8/5.5 GHz),Radio Flux (8.4/9.0 GHz),Radio Flux error (8.4/9.0 GHz),X-ray Flux,X-ray Flux Error,X-ray Luminosity,X-ray Luminosity Error,Radio Luminosity,Radio Luminosity Error,Distance,Reference
GX339-4,50483.0,-1.00,-1.00,9.10,0.10,9.660,0.340,1.30E+37,4.56E+35,5.97E+30,6.56E+28,8.0,"C13,C03"
GX339-4,50489.8,-1.00,-1.00,8.20,0.20,8.480,0.298,1.14E+37,4.00E+35,5.38E+30,1.31E+29,8.0,"C13,C03"
GX339-4,50496.8,-1.00,-1.00,8.70,0.20,8.110,0.285,1.09E+37,3.83E+35,5.71E+30,1.31E+29,8.0,"C13,C03"
GX339-4,51222.0,6.34,0.08,4.60,0.08,4.390,0.155,5.89E+36,2.08E+35,3.02E+30,5.25E+28,8.0,"C13,C03"
GX339-4,51240.7,6.07,0.06,5.74,0.06,4.350,0.154,5.84E+36,2.06E+35,3.77E+30,3.94E+28,8.0,"C13,C03"
GX339-4,51270.6,4.75,0.06,5.10,0.06,4.420,0.156,5.94E+36,2.10E+35,3.35E+30,3.94E+28,8.0,"C13,C03"
GX339-4,51290.6,2.92,0.06,3.20,0.06,2.050,0.073,2.75E+36,9.82E+34,2.10E+30,3.94E+28,8.0,"C13,C03"
GX339-4,51312.7,1.25,0.05,1.44,0.06,0.720,0.027,9.67E+35,3.57E+34,9.45E+29,3.94E+28,8.0,"C13,C03"
GX339-4,51354.7,0.14,0.03,0.24,0.05,0.039,0.003,5.28E+34,3.73E+33,1.57E+29,3.28E+28,8.0,"C13,C03"
GX339-4,51366.6,-1.00,-1.00,0.12,0.04,0.015,0.002,2.05E+34,2.60E+33,7.87E+28,2.62E+28,8.0,"C13,C03"
GX339-4,51407.4,-1.00,-1.00,0.27,0.07,0.020,0.003,2.69E+34,4.03E+33,1.77E+29,4.59E+28,8.0,"C13,C03"
